,captured_at,channel_id,device_id,devicetype_id,height,id,latitude,location_name,longitude,original_id,sensor_id,station_id,unit,user_id,value
222,2012-01-18T02:42:09.000Z,,,,,15501111,37.411265,,141.030778333,,,,cpm,1,14502.0
223,2011-12-18T12:57:10.000Z,,,,,14894804,37.4272783333,,141.021988333,,,,cpm,1,4768.0
224,2011-12-18T12:52:13.000Z,,,,,14894745,37.4178233333,,141.02107,,,,cpm,1,5940.0
225,2011-12-15T04:05:49.000Z,,,,,14865885,37.4272716667,,141.02192,,,,cpm,1,3644.0
226,2011-12-18T12:56:55.000Z,,,,,14894801,37.4266133333,,141.021466667,,,,cpm,1,4424.0
227,2011-12-18T12:51:28.000Z,,,,,14894736,37.4178233333,,141.02099,,,,cpm,1,5434.0
228,2011-12-15T04:05:54.000Z,,,,,14865886,37.4271366667,,141.021783333,,,,cpm,1,3914.0
229,2011-12-18T12:57:15.000Z,,,,,14894805,37.42757,,141.022048333,,,,cpm,1,4690.0
230,2012-01-18T02:29:16.000Z,,,,,15500956,37.41786,,141.020903333,,,,cpm,1,6012.0
231,2012-01-18T02:47:24.000Z,,,,,15501174,37.4110483333,,141.030893333,,,,cpm,1,7986.0
232,2011-12-15T04:05:44.000Z,,,,,14865884,37.427615,,141.022013333,,,,cpm,1,3455.0
233,2011-12-18T12:57:20.000Z,,,,,14894806,37.4276983333,,141.022065,,,,cpm,1,4550.0
234,2011-12-18T12:57:25.000Z,,,,,14894807,37.4276916667,,141.022045,,,,cpm,1,4473.0
235,2011-12-18T12:57:30.000Z,,,,,14894808,37.427675,,141.022025,,,,cpm,1,4327.0
236,2011-12-18T12:57:35.000Z,,,,,14894809,37.427675,,141.022023333,,,,cpm,1,4200.0
237,2011-12-18T12:57:40.000Z,,,,,14894810,37.4276766667,,141.02201,,,,cpm,1,4126.0
238,2012-01-18T02:52:18.000Z,,,,,15501233,37.4177466667,,141.020821667,,,,cpm,1,7655.0
239,2011-12-18T12:57:50.000Z,,,,,14894812,37.4276833333,,141.021976667,,,,cpm,1,3845.0
240,2011-12-18T12:57:45.000Z,,,,,14894811,37.4276883333,,141.02198,,,,cpm,1,4003.0
241,2011-12-18T12:57:55.000Z,,,,,14894813,37.4276816667,,141.021973333,,,,cpm,1,3591.0
242,2011-12-18T12:58:00.000Z,,,,,14894814,37.427815,,141.022036667,,,,cpm,1,3444.0
