time,cpm,lat,lon
2017-03-11T13:20:01Z,24,45.7071183333,13.713775
2017-03-11T13:20:06Z,24,45.7071166667,13.7137716667
2017-03-11T13:20:11Z,26,45.7071166667,13.7137833333
2017-03-11T13:20:16Z,29,45.7071183333,13.7137883333
2017-03-11T13:20:21Z,31,45.7071216667,13.7137866667
2017-03-11T13:20:26Z,34,45.7071283333,13.7137866667
2017-03-11T13:20:31Z,32,45.70713,13.7137866667
2017-03-11T13:20:36Z,32,45.7071316667,13.7137833333
2017-03-11T13:20:41Z,27,45.7071316667,13.7137816667
2017-03-11T13:20:46Z,28,45.7071333333,13.7137766667
2017-03-11T13:20:51Z,28,45.707135,13.7137816667
2017-03-11T13:20:56Z,25,45.7071366667,13.713785
2017-03-11T13:21:01Z,23,45.7071366667,13.7137916667
2017-03-11T13:21:06Z,26,45.7071366667,13.7138
2017-03-11T13:21:11Z,26,45.707135,13.7138033333
2017-03-11T13:21:16Z,24,45.7071366667,13.7138083333
2017-03-11T13:21:21Z,23,45.707135,13.713805
2017-03-11T13:21:26Z,22,45.707135,13.7138
2017-03-11T13:21:31Z,22,45.707135,13.7137966667
2017-03-11T13:21:36Z,21,45.707135,13.7137916667
2017-03-11T13:21:41Z,21,45.7071366667,13.7137916667
2017-03-11T13:21:46Z,18,45.7071366667,13.7137916667
2017-03-11T13:21:51Z,21,45.7071366667,13.71379
2017-03-11T13:21:56Z,21,45.707135,13.7137833333
2017-03-11T13:22:01Z,18,45.7071333333,13.713775
2017-03-11T13:22:06Z,17,45.7071416667,13.7137783333
2017-03-11T13:22:11Z,19,45.707145,13.7137816667
2017-03-11T13:22:16Z,20,45.7071466667,13.713785
2017-03-11T13:22:21Z,20,45.70715,13.7137883333
2017-03-11T13:22:26Z,21,45.7071516667,13.7137933333
2017-03-11T13:22:31Z,21,45.7071533333,13.713795
2017-03-11T13:22:36Z,25,45.7071516667,13.713795
2017-03-11T13:22:41Z,28,45.7071466667,13.7137916667
2017-03-11T13:22:46Z,28,45.7071383333,13.7137933333
2017-03-11T13:22:51Z,25,45.707135,13.7137883333
2017-03-11T13:22:56Z,26,45.7071366667,13.7137866667
2017-03-11T13:23:01Z,29,45.707135,13.713785
2017-03-11T13:23:06Z,28,45.7071366667,13.7137733333
2017-03-11T13:23:11Z,25,45.7071516667,13.71376
2017-03-11T13:23:16Z,28,45.7071533333,13.7137616667
2017-03-11T13:23:21Z,30,45.707155,13.7137716667
2017-03-11T13:23:26Z,27,45.7071616667,13.71379
2017-03-11T13:23:31Z,29,45.70716,13.7138016667
2017-03-11T13:23:36Z,26,45.7071616667,13.7138033333
2017-03-11T13:23:41Z,23,45.7071633333,13.7138116667
2017-03-11T13:23:46Z,22,45.70716,13.7138116667
2017-03-11T13:23:51Z,21,45.7071633333,13.713815
2017-03-11T13:23:56Z,19,45.7071666667,13.7138216667
2017-03-11T13:24:01Z,18,45.70717,13.7138283333
2017-03-11T13:24:06Z,18,45.7071733333,13.7138366667
2017-03-11T13:24:11Z,18,45.7071833333,13.71385
2017-03-11T13:24:16Z,17,45.7071966667,13.713855
2017-03-11T13:24:21Z,16,45.7072033333,13.71386
2017-03-11T13:24:26Z,17,45.7072083333,13.71386
2017-03-11T13:24:31Z,16,45.7072233333,13.713865
2017-03-11T13:24:36Z,17,45.7072266667,13.713865
2017-03-11T13:24:41Z,20,45.7072233333,13.7138533333
2017-03-11T13:24:46Z,20,45.70722,13.7138383333
2017-03-11T13:24:51Z,21,45.70722,13.7138333333
2017-03-11T13:24:56Z,23,45.70722,13.7138316667
2017-03-11T13:25:01Z,22,45.7072183333,13.7138316667
2017-03-11T13:25:06Z,25,45.707215,13.7138266667
2017-03-11T13:25:11Z,26,45.70721,13.7138216667
2017-03-11T13:25:16Z,24,45.7072033333,13.7138166667
2017-03-11T13:25:21Z,25,45.707195,13.7138083333
2017-03-11T13:25:26Z,28,45.7071933333,13.713805
2017-03-11T13:25:31Z,28,45.70719,13.713805
2017-03-11T13:25:36Z,27,45.7071883333,13.713805
2017-03-11T13:25:41Z,27,45.70719,13.7138033333
2017-03-11T13:25:46Z,27,45.7071866667,13.7138033333
2017-03-11T13:25:51Z,28,45.7071866667,13.7138016667
2017-03-11T13:25:56Z,26,45.7071866667,13.7138016667
2017-03-11T13:26:02Z,28,45.7071983333,13.713815
2017-03-11T13:26:07Z,27,45.7071933333,13.71382
2017-03-11T13:26:09Z,26,45.7071983333,13.713815
2017-03-11T13:26:14Z,28,45.7071966667,13.7138083333
2017-03-11T13:26:19Z,28,45.7072,13.713805
2017-03-11T13:26:23Z,27,45.7072,13.7138016667
2017-03-11T13:26:28Z,32,45.7072,13.7137966667
2017-03-11T13:26:33Z,30,45.7072,13.7138
2017-03-11T13:26:38Z,29,45.7072016667,13.7137983333
2017-03-11T13:26:43Z,28,45.7072016667,13.7137983333
2017-03-11T13:26:48Z,30,45.7072016667,13.7137966667
2017-03-11T13:26:54Z,33,45.7072033333,13.7137983333
2017-03-11T13:26:59Z,32,45.7072033333,13.713795
2017-03-11T13:27:04Z,30,45.7072,13.7137883333
2017-03-11T13:27:09Z,33,45.7071966667,13.7137883333
2017-03-11T13:27:13Z,33,45.7071916667,13.7137833333
2017-03-11T13:27:18Z,35,45.70718,13.7137916667
2017-03-11T13:27:23Z,32,45.707165,13.7138033333
2017-03-11T13:27:29Z,27,45.7071583333,13.7137983333
2017-03-11T13:27:34Z,28,45.7071566667,13.7138
2017-03-11T13:27:39Z,27,45.70716,13.713795
2017-03-11T13:27:44Z,27,45.707145,13.7137966667
2017-03-11T13:27:49Z,26,45.7071416667,13.7137916667
2017-03-11T13:27:54Z,24,45.7071283333,13.7137866667
