id,value,captured_a,latitude,longitude
14894517,3654,2011-12-18,37.388381666667001,141.008143333329997
15254057,2979,2012-01-14,37.388333333333001,141.008186666670014
14891044,3376,2011-12-17,37.388354999999997,141.008139999999997
14753765,3298,2011-12-08,37.388338333333003,141.008148333330013
14081985,3305,2011-10-05,37.388314999999999,141.008161666669992
17828700,2003,2012-03-23,37.406893333333301,140.988193333332987
15863762,2003,2012-03-23,37.406893333333002,140.988193333330003
15152832,1634,2012-01-07,37.400693333333002,140.992186666669994
14033644,9679,2011-09-24,37.431368333332998,140.985901666670003
14477148,3288,2011-11-08,37.388161666667003,141.008138333330010
14033790,7147,2011-09-24,37.411175000000000,140.986208333330012
14251209,3733,2011-10-29,37.388048333333003,141.008291666670004
14315608,3164,2011-11-05,37.388051666667003,141.008226666669998
15153147,1688,2012-01-07,37.401226666667000,140.991569999999996
15152833,1670,2012-01-07,37.401155000000003,140.991623333330011
14866090,3578,2011-12-15,37.388024999999999,141.008225000000010
15863723,2847,2012-03-23,37.387999999999998,141.008206666669992
17828622,2847,2012-03-23,37.387999999999998,141.008206666667007
15152834,1670,2012-01-07,37.401416666666996,140.991330000000005
15143103,2607,2011-11-24,37.387929999999997,141.008283333330013
15119292,2607,2011-11-24,37.387929999999997,141.008283333330013
14463050,2972,2011-11-10,37.387886666667001,141.008298333330004
14890186,2986,2011-12-17,37.387868333333003,141.008301666670008
17828926,3441,2012-03-23,37.407133333333299,140.987689999999986
15863874,3441,2012-03-23,37.407133333333000,140.987689999999986
15153146,1642,2012-01-07,37.401308333332999,140.991323333330001
15152835,1672,2012-01-07,37.401473333333001,140.991166666670011
15863763,1967,2012-03-23,37.407156666666999,140.987581666669996
17828702,1967,2012-03-23,37.407156666666701,140.987581666667012
14866541,10875,2011-12-15,37.431305000000002,140.985503333330001
14032274,3025,2011-09-24,37.387733333333003,141.008316666669998
15153145,1657,2012-01-07,37.401485000000001,140.991013333329988
14753766,3458,2011-12-08,37.387671666667003,141.008368333329997
14963143,3920,2011-12-17,37.387619999999998,141.008408333330010
14894516,3611,2011-12-18,37.387630000000001,141.008373333330013
14475814,3269,2011-11-08,37.387596666667001,141.008436666670008
15152806,2778,2012-01-07,37.387656666666999,141.008306666669995
15556049,2755,2012-02-11,37.387623333333003,141.008336666670004
17578527,2755,2012-02-11,37.387623333333302,141.008336666666992
14891043,3290,2011-12-17,37.387553333333003,141.008399999999995
14033124,5983,2011-09-24,37.431293333333002,140.985291666670008
15254056,2867,2012-01-14,37.387516666666997,141.008456666670014
14081984,3219,2011-10-05,37.387503333333001,141.008428333329988
14892668,3220,2011-12-18,37.387563333332999,141.008289999999988
15152836,1684,2012-01-07,37.401581666666999,140.990739999999988
14033791,6713,2011-09-24,37.410793333332997,140.985729999999990
15153144,1692,2012-01-07,37.401550000000000,140.990720000000010
17828999,3180,2012-03-23,37.387445000000000,141.008454999999998
15863910,3180,2012-03-23,37.387445000000000,141.008454999999998
14232795,9388,2011-10-22,37.431285000000003,140.985176666669986
14477149,3498,2011-11-08,37.387443333333003,141.008370000000014
14251211,3918,2011-10-29,37.387348333333001,141.008505000000014
14033643,9670,2011-09-24,37.431306666666998,140.985095000000001
14315607,3021,2011-11-05,37.387326666667001,141.008443333330007
15119291,2479,2011-11-24,37.387303333333001,141.008468333330001
15143102,2479,2011-11-24,37.387303333333001,141.008468333330001
17828924,3565,2012-03-23,37.407511666666700,140.986888333333013
15863873,3565,2012-03-23,37.407511666666998,140.986888333330000
14866091,3740,2011-12-15,37.387234999999997,141.008458333329997
14463049,2898,2011-11-10,37.387221666667003,141.008481666670008
15863764,1959,2012-03-23,37.407486666666998,140.986846666670004
17828704,1959,2012-03-23,37.407486666666699,140.986846666666992
15153143,1668,2012-01-07,37.401676666667001,140.990328333330012
15152837,1711,2012-01-07,37.401763333333001,140.990108333329999
14033792,6321,2011-09-24,37.410653333333002,140.985346666670011
14033793,5991,2011-09-24,37.410668333333000,140.985338333329992
14033794,5689,2011-09-24,37.410671666667000,140.985330000000005
14033795,5295,2011-09-24,37.410671666667000,140.985328333329988
17828620,2638,2012-03-23,37.387051666666700,141.008433333332988
15863722,2638,2012-03-23,37.387051666666999,141.008433333330004
15863866,4334,2012-03-23,37.410654999999998,140.985296666669996
17828910,4334,2012-03-23,37.410654999999998,140.985296666667011
14753767,3540,2011-12-08,37.386963333333000,141.008531666669995
15863872,3639,2012-03-23,37.407856666667001,140.986401666669991
17828922,3639,2012-03-23,37.407856666666703,140.986401666667007
17828720,2632,2012-03-23,37.410575000000001,140.985263333332995
15863772,2632,2012-03-23,37.410575000000001,140.985263333330010
17828722,2734,2012-03-23,37.410683333333303,140.985183333332998
15863773,2734,2012-03-23,37.410683333332997,140.985183333330014
14032273,2835,2011-09-24,37.386891666666997,141.008496666669998
14475813,3128,2011-11-08,37.386843333332997,141.008593333329998
14894515,3578,2011-12-18,37.386865000000000,141.008534999999995
14890187,3170,2011-12-17,37.386854999999997,141.008551666670002
17828706,1987,2012-03-23,37.407908333333303,140.986269999999990
15863765,1987,2012-03-23,37.407908333332998,140.986269999999990
14866540,10848,2011-12-15,37.431233333332997,140.984559999999988
14081983,3112,2011-10-05,37.386838333333003,141.008544999999998
15863867,4328,2012-03-23,37.410290000000003,140.985236666670005
17828912,4328,2012-03-23,37.410290000000003,140.985236666666992
15863865,4355,2012-03-23,37.410823333332999,140.984966666670005
17828908,4355,2012-03-23,37.410823333333298,140.984966666666992
14891042,3172,2011-12-17,37.386736666666998,141.008556666669989
14963144,4115,2011-12-17,37.386724999999998,141.008578333330007
15152805,2679,2012-01-07,37.386744999999998,141.008528333329991
14033125,6664,2011-09-24,37.431221666667000,140.984409999999997
14033796,4929,2011-09-24,37.410829999999997,140.984919999999988
17578523,2597,2012-02-11,37.386704999999999,141.008499999999998
15556048,2597,2012-02-11,37.386704999999999,141.008499999999998
15153142,1639,2012-01-07,37.401879999999998,140.989563333330011
14477150,3654,2011-11-08,37.386690000000002,141.008510000000001
15254055,2771,2012-01-14,37.386636666667002,141.008593333329998
17828718,2451,2012-03-23,37.410143333333302,140.985115000000008
15863771,2451,2012-03-23,37.410143333332996,140.985115000000008
14232794,9350,2011-10-22,37.431220000000003,140.984311666670010
17828708,2017,2012-03-23,37.408248333333297,140.985853333333012
15863766,2017,2012-03-23,37.408248333332999,140.985853333329999
